orth phon sense pos gender asp dic_name usg etym_lang
дисконт ДИСК'ОНТ " Учёт векселя. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дисконт ДИСК'ОНТ " Учётный процент, взимаемый банками при учёте векселя. " сущ. м. None "Толковый словарь Кузнецова" None англ.
диспетчер ДИСП'ЕТЧЕР " Работник, обеспечивающий согласованную деятельность отдельных звеньев и служб производства, транспорта и т.п. в целях лучшего использования их возможностей. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дисплей ДИСПЛ'ЕЙ " (учебный класс, оборудованный компьютером с несколькими дисплеями). " сущ. м. None "Толковый словарь Кузнецова" None англ.
диэлектрик ДИЭЛ'ЕКТРИК " Вещество, плохо проводящее электрический ток. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дог ДОГ " Порода крупных короткошёрстных собак чёрной, серой или мраморной масти. " сущ. м. None "Толковый словарь Кузнецова" None англ.
дойти ДОЙТ'И " (отделённый от водоёма затвором). " сущ. м. None "Толковый словарь Кузнецова" None англ.
докер Д'ОКЕР " Портовый грузчик, рабочий в доках, на верфях. " сущ. м. None "Толковый словарь Кузнецова" None англ.
доллар Д'ОЛЛАР " Денежная единица США, Канады, Австралии и некоторых других стран. " сущ. м. None "Толковый словарь Кузнецова" None англ.
доминион ДОМИНИ'ОН " Название бывших колоний Британской империи, а затем (до 1947 г.) государств, входивших в Британское содружество наций в качестве его членов и признававших английского монарха главой этого Содружества. " сущ. м. None "Толковый словарь Кузнецова" None англ.
